1,Ingénierie Pétrole et GAZ,Univ. Nouakchott - FST,RI
2,Mathématiques - Applications,Univ. Nouakchott - FST,I
3,Réseaux et Systèmes Communicants,Univ. Nouakchott - FST,RIC
4,"Développement, Administration Intranet et Internet",Univ. Nouakchott - FST,RIC
5,Technologies des Systèmes des Energies Renouvelables,Univ. Nouakchott - FST,RI
6,Electronique - Electrotechnique - Automatique,Univ. Nouakchott - FST,RI
7,Mathématiques - Informatique,Univ. Nouakchott - FST,I
8,MIAGE (Méthodes Info. Appliquées à la Gestion),Univ. Nouakchott - FST,IC
9,Géologie Appliquée (Géologie Minière),Univ. Nouakchott - FST,RI
10,Techniques de Prospection Géologique et Minière,Univ. Nouakchott - FST,R
11,Analyses Biologiques et Chimiques,Univ. Nouakchott - FST,IR
12,Nutrition et Santé (Techno. Aliments),Univ. Nouakchott - FST,IRS
13,SMQ Aliments (Qualité et Management),Univ. Nouakchott - FST,RIC
14,Production Eau Potable et Environnement,Univ. Nouakchott - FST,RI
15,Biologie Moléculaire et Physiologie,Univ. Nouakchott - FST,I
16,Géologie Fondamentale (Géosciences),Univ. Nouakchott - FST,I
17,Biologie des Organismes et des Ecosystèmes,Univ. Nouakchott - FST,I
18,Physique Fondamentale,Univ. Nouakchott - FST,I
19,Chimie,Univ. Nouakchott - FST,I
20,Sciences Physiques,Univ. Nouakchott - FST,I
21,Intelligence Artificielle,Univ. Nouadhibou - FST,I
22,Génie Energétique et Energies Renouvelables,Univ. Nouadhibou - FST,RI
23,Génie des Procédés de Dessalement,Univ. Nouadhibou - FST,RI
24,Géologie et Mines,Univ. Nouadhibou - FST,RI
25,Statistiques et Data Science,Univ. Nouadhibou - FST,IC
26,"Réseaux, systèmes et sécurité",Institut Sup. du Numérique,RIC
27,Développement des systèmes d'information,Institut Sup. du Numérique,RIC
28,Ingénierie des systèmes connectés et autonomes,Institut Sup. du Numérique,RI
29,Développement Web et Multimédia,Institut Sup. du Numérique,RA
30,Ingénierie des données et statistiques,Institut Sup. du Numérique,IC
31,Génie Mécanique,ISGM (Mécanique),RI
32,Génie Industriel,ISGI (Industriel),RIC
33,Génie Electrique et Energie Renouvelable,IS Energy,RI
34,Génie Chimie et Génie des Procédés,IS Energy,IR
35,Génie civil,ISGC (Civil),RI
36,Statistique,IS Statistique,IC
37,"CPGE : Maths, Physique, Sciences de l''Ingénieur",IPGEI,I
38,Médecine,Faculté de Médecine,IS
39,Médecine dentaire,Faculté de Médecine,IS
40,Pharmacie,Faculté de Médecine,IC
41,Tronc commun Santé / Infirmier,ENSSS,SI
42,Sciences et techno. des activités socio-éducatives,ISJS (Sport),S
43,Activités physiques et sportives,ISJS (Sport),R
44,Finance et Comptabilité,ISCAE,CE
45,Banques et Assurances,ISCAE,CE
46,Techniques Commerciales et Marketing,ISCAE,EC
47,Gestion des Ressources Humaines,ISCAE,SE
48,Statistique Appliquée à l'Economie,ISCAE,IC
49,Informatique de Gestion,ISCAE,CI
50,Bachelor en Sciences de la Gestion,Nouakchott Business Sch.,EC
51,Gestion: Banques et Assurances,Univ. Nouakchott - FEG,CE
52,Gestion: Finance et Comptabilité,Univ. Nouakchott - FEG,CE
53,Economie-Gestion / Gestion des Entreprises,Univ. Nouakchott - FEG,EC
54,Gestion: Gestion des Ressources Humaines,Univ. Nouakchott - FEG,SE
55,Droit des Activités Maritimes et Portuaires,Univ. Nouadhibou - FDEG,EC
56,Droit des Mines et des Hydrocarbures,Univ. Nouadhibou - FDEG,EC
57,Gestion des Activités Portuaires et Maritimes,Univ. Nouadhibou - FDEG,CE
58,Gestion des Risques Environnementaux et Littoral,Univ. Nouadhibou - FDEG,CIE
59,Droit (en français),Univ. Nouakchott - FSJP,EC
60,Droit (en arabe),Univ. Nouakchott - FSJP,EC
61,Génie Électromécanique / Génie Rural,ISET Rosso,RI
62,Production et Protection Végétales,ISET Rosso,RI
63,Production et Santé Animales,ISET Rosso,RI
64,Science et Technologie des Aliments,ISET Rosso,RIC
65,Logistique et Gestion Portuaire,ISSM (Pêche),CE
66,Environnement Marin et Etudes du Littoral,ISSM (Pêche),RI
67,Sciences Halieutiques et Industries de la pêche,ISSM (Pêche),RI
68,Sciences Halieutiques et Biotechnologie Bleue,Univ. Nouadhibou - ISB,RI
69,Droit privé / Jurisprudence et principes,Faculté de la Charia,ESC
70,Economie islamique,Faculté de la Charia,CE
71,Droit public et politique de la charia,Faculté Oussoul ad‑Dine,ES
72,Coran et la Sunna / Doctrine et pensée,Faculté Oussoul ad‑Dine,S
73,Tronc commun Etudes Islamiques,ISERI,S
74,Arabe / Théologie islamique,Gde Mahdara Chinguitiya,S
75,Anglais (ISA),Institut Sup. d'Anglais,A
76,Ingénierie Pétrole et GAZ,Univ. Nouakchott - FST,RI
77,Mathématiques - Applications,Univ. Nouakchott - FST,I
78,Réseaux et Systèmes Communicants,Univ. Nouakchott - FST,RIC
79,"Développement, Administration Intranet et Internet",Univ. Nouakchott - FST,RIC
80,Technologies des Systèmes des Energies Renouvelables,Univ. Nouakchott - FST,RI
81,Electronique - Electrotechnique - Automatique,Univ. Nouakchott - FST,RI
82,Mathématiques - Informatique,Univ. Nouakchott - FST,I
83,MIAGE (Méthodes Info. Appliquées à la Gestion),Univ. Nouakchott - FST,IC
84,Géologie Appliquée (Géologie Minière),Univ. Nouakchott - FST,RI
85,Techniques de Prospection Géologique et Minière,Univ. Nouakchott - FST,R
86,Analyses Biologiques et Chimiques,Univ. Nouakchott - FST,IR
87,Nutrition et Santé (Techno. Aliments),Univ. Nouakchott - FST,IRS
88,SMQ Aliments (Qualité et Management),Univ. Nouakchott - FST,RIC
89,Production Eau Potable et Environnement,Univ. Nouakchott - FST,RI
90,Biologie Moléculaire et Physiologie,Univ. Nouakchott - FST,I
91,Géologie Fondamentale (Géosciences),Univ. Nouakchott - FST,I
92,Biologie des Organismes et des Ecosystèmes,Univ. Nouakchott - FST,I
93,Physique Fondamentale,Univ. Nouakchott - FST,I
94,Chimie,Univ. Nouakchott - FST,I
95,Sciences Physiques,Univ. Nouakchott - FST,I
96,Intelligence Artificielle,Univ. Nouadhibou - FST,I
97,Génie Energétique et Energies Renouvelables,Univ. Nouadhibou - FST,RI
98,Génie des Procédés de Dessalement,Univ. Nouadhibou - FST,RI
99,Géologie et Mines,Univ. Nouadhibou - FST,RI
100,Statistiques et Data Science,Univ. Nouadhibou - FST,IC
101,"Réseaux, systèmes et sécurité",Institut Sup. du Numérique,RIC
102,Développement des systèmes d'information,Institut Sup. du Numérique,RIC
103,Ingénierie des systèmes connectés et autonomes,Institut Sup. du Numérique,RI
104,Développement Web et Multimédia,Institut Sup. du Numérique,RA
105,Ingénierie des données et statistiques,Institut Sup. du Numérique,IC
106,Génie Mécanique,ISGM (Mécanique),RI
107,Génie Industriel,ISGI (Industriel),RIC
108,Génie Electrique et Energie Renouvelable,IS Energy,RI
109,Génie Chimie et Génie des Procédés,IS Energy,IR
110,Génie civil,ISGC (Civil),RI
111,Statistique,IS Statistique,IC
112,"CPGE : Maths, Physique, Sciences de l''Ingénieur",IPGEI,I
113,Médecine,Faculté de Médecine,IS
114,Médecine dentaire,Faculté de Médecine,IS
115,Pharmacie,Faculté de Médecine,IC
116,Tronc commun Santé / Infirmier,ENSSS,SI
117,Sciences et techno. des activités socio-éducatives,ISJS (Sport),S
118,Activités physiques et sportives,ISJS (Sport),R
119,Finance et Comptabilité,ISCAE,CE
120,Banques et Assurances,ISCAE,CE
121,Techniques Commerciales et Marketing,ISCAE,EC
122,Gestion des Ressources Humaines,ISCAE,SE
123,Statistique Appliquée à l'Economie,ISCAE,IC
124,Informatique de Gestion,ISCAE,CI
125,Bachelor en Sciences de la Gestion,Nouakchott Business Sch.,EC
126,Gestion: Banques et Assurances,Univ. Nouakchott - FEG,CE
127,Gestion: Finance et Comptabilité,Univ. Nouakchott - FEG,CE
128,Economie-Gestion / Gestion des Entreprises,Univ. Nouakchott - FEG,EC
129,Gestion: Gestion des Ressources Humaines,Univ. Nouakchott - FEG,SE
130,Droit des Activités Maritimes et Portuaires,Univ. Nouadhibou - FDEG,EC
131,Droit des Mines et des Hydrocarbures,Univ. Nouadhibou - FDEG,EC
132,Gestion des Activités Portuaires et Maritimes,Univ. Nouadhibou - FDEG,CE
133,Gestion des Risques Environnementaux et Littoral,Univ. Nouadhibou - FDEG,CIE
134,Droit (en français),Univ. Nouakchott - FSJP,EC
135,Droit (en arabe),Univ. Nouakchott - FSJP,EC
136,Génie Électromécanique / Génie Rural,ISET Rosso,RI
137,Production et Protection Végétales,ISET Rosso,RI
138,Production et Santé Animales,ISET Rosso,RI
139,Science et Technologie des Aliments,ISET Rosso,RIC
140,Logistique et Gestion Portuaire,ISSM (Pêche),CE
141,Environnement Marin et Etudes du Littoral,ISSM (Pêche),RI
142,Sciences Halieutiques et Industries de la pêche,ISSM (Pêche),RI
143,Sciences Halieutiques et Biotechnologie Bleue,Univ. Nouadhibou - ISB,RI
144,Droit privé / Jurisprudence et principes,Faculté de la Charia,ESC
145,Economie islamique,Faculté de la Charia,CE
146,Droit public et politique de la charia,Faculté Oussoul ad‑Dine,ES
147,Coran et la Sunna / Doctrine et pensée,Faculté Oussoul ad‑Dine,S
148,Tronc commun Etudes Islamiques,ISERI,S
149,Arabe / Théologie islamique,Gde Mahdara Chinguitiya,S
150,Anglais (ISA),Institut Sup. d'Anglais,A
